column,Question #,Rename Column,count_not_blank,count_unique,max_word_count,mean_word_count,max_char_length,mean_char_length,Important for Analysis,Section,Sub-Section
Start Date,,,766,739,2,2,15,14.11227154,,DEMOGRAPHICS,General
End Date,,,766,758,2,2,15,14.14882507,,DEMOGRAPHICS,General
Progress,,,766,17,1,1,3,2.372062663,,DEMOGRAPHICS,General
Duration (in seconds),,,766,667,1,1,6,3.591383812,,DEMOGRAPHICS,General
Finished,,,766,2,1,1,5,4.531331593,,DEMOGRAPHICS,General
Recorded Date,,,766,754,2,2,15,14.25065274,,DEMOGRAPHICS,General
Response ID,,,766,766,1,1,17,17,,DEMOGRAPHICS,General
Location Latitude,,,359,281,1,1,8,6.947075209,,DEMOGRAPHICS,General
Location Longitude,,,359,282,1,1,9,8.186629526,,DEMOGRAPHICS,General
Age Range,QID3,[Demo] Age Range,693,8,1,1,5,4.662337662,,DEMOGRAPHICS,General
Gender,QID4,[Demo] Gender,693,4,4,1.043290043,25,5.210678211,,DEMOGRAPHICS,General
White or Caucasian,QID84,[Demo] White or Caucasian,693,3,3,2.630591631,18,14.97835498,,DEMOGRAPHICS,General
Black or African American,QID84,[Demo] Black or African American,693,3,4,1.064935065,25,1.637806638,,DEMOGRAPHICS,General
American Indian / Native American or Alaska Native,QID84,[Demo] American Indian / Native American or Alaska Native,693,3,8,1.373737374,50,3.734487734,,DEMOGRAPHICS,General
Asian,QID84,[Demo] Asian,693,3,1,1,5,1.204906205,,DEMOGRAPHICS,General
Native Hawaiian or Other Pacific Islander,QID84,[Demo] Native Hawaiian or Other Pacific Islander,693,3,6,1.036075036,41,1.406926407,,DEMOGRAPHICS,General
Other,QID84,[Demo] Other,693,3,1,1,5,1.378066378,,DEMOGRAPHICS,General
Other (text),QID84,[Demo] Other (text),693,25,11,1.03030303,54,3.343434343,,DEMOGRAPHICS,General
Highest Academic Degree,QID5,[Demo] Highest Academic Degree,693,7,5,1.567099567,47,10.3953824,,DEMOGRAPHICS,General
Highest Academic Degree (Other Qualification),QID5,[Demo] Highest Academic Degree (Other Qualification),693,28,10,1.092352092,59,3.854256854,,DEMOGRAPHICS,General
Highest Academic Degree (Discipline),QID6,[Demo] Highest Academic Degree (Discipline),693,217,12,1.516594517,95,13.58730159,,DEMOGRAPHICS,General
[Work] Cultural Resources Consulting Firm,QID7,[Work] Cultural Resources Consulting Firm,693,3,5,1.571428571,39,6.497835498,,DEMOGRAPHICS,General
[Work] Environmental or Engineering Consulting Firm,QID7,[Work] Environmental or Engineering Consulting Firm,693,3,9,1.565656566,79,6.584415584,,DEMOGRAPHICS,General
[Work] Museum or University-based Consulting Organization,QID7,[Work] Museum or University-based Consulting Organization,693,3,6,1.252525253,55,3.796536797,,DEMOGRAPHICS,General
[Work] Tribally-Owned Firm,QID7,[Work] Tribally-Owned Firm,693,3,6,1.072150072,46,1.718614719,,DEMOGRAPHICS,General
