label,uri,page_id,node_id,resource_pk,resource_id,preferred_canonical_for_page,gbif_id,gbif_rel_method,gbif_uri,gbif_can_name,gbif_vern_name
Animalia,http://eol.org/pages/1,1,61285267.0,Animalia,767.0,Metazoa,,,,,
Animalia,http://eol.org/pages/1,1,61285268.0,1,767.0,Metazoa,1.0,EOL-GBIF-names,https://www.gbif.org/species/1,Animalia,Animals
Arthropod,http://eol.org/pages/164,164,63187753.0,54,767.0,Arthropoda,54.0,EOL-GBIF-names,https://www.gbif.org/species/54,Arthropoda,Arthropods
Arthropod,http://eol.org/pages/164,164,61285269.0,Arthropoda,767.0,Arthropoda,,,,,
Plantae (Plants),http://eol.org/pages/281,281,61293664.0,Plantae,767.0,Plantae,6.0,EOL-pref-page-GBIF-exact-search,https://www.gbif.org/species/6,Plantae,plants
Magnoliidae Novák ex Takht.,http://eol.org/pages/283,283,,,,,5857036.0,EOL-OC-label-GBIF-search-w-alts,https://www.gbif.org/species/5857036,Mangeliidae,
Chordata,http://eol.org/pages/694,694,61294726.0,Chordata,767.0,Chordata,,,,,
Chordata,http://eol.org/pages/694,694,62681416.0,44,767.0,Chordata,44.0,EOL-GBIF-names,https://www.gbif.org/species/44,Chordata,chordates
Aves,http://eol.org/pages/695,695,61356568.0,Aves,767.0,Aves,,,,,
Aves,http://eol.org/pages/695,695,61936592.0,212,767.0,Aves,212.0,EOL-GBIF-names,https://www.gbif.org/species/212,Aves,Birds
Strigiformes,http://eol.org/pages/696,696,61530107.0,1450,767.0,Strigiformes,1450.0,EOL-GBIF-names,https://www.gbif.org/species/1450,Strigiformes,Goatsuckers
Strigiformes,http://eol.org/pages/696,696,61530106.0,Strigiformes,767.0,Strigiformes,,,,,
Malacostraca,http://eol.org/pages/1157,1157,62066177.0,229,767.0,Malacostraca,229.0,EOL-GBIF-names,https://www.gbif.org/species/229,Malacostraca,
Malacostraca,http://eol.org/pages/1157,1157,61397927.0,Malacostraca,767.0,Malacostraca,,,,,
Amphibia,http://eol.org/pages/1552,1552,61442299.0,Amphibia,767.0,Lissamphibia,,,,,
