label,uri,page_id,node_id,resource_pk,resource_id,preferred_canonical_for_page,gbif_id,gbif_rel_method,gbif_uri,gbif_can_name,gbif_vern_name
Animalia,http://eol.org/pages/1,1,61285267.0,Animalia,767.0,Metazoa,,,,,
Arthropod,http://eol.org/pages/164,164,61285269.0,Arthropoda,767.0,Arthropoda,,,,,
Chordata,http://eol.org/pages/694,694,61294726.0,Chordata,767.0,Chordata,,,,,
Aves,http://eol.org/pages/695,695,61356568.0,Aves,767.0,Aves,,,,,
Strigiformes,http://eol.org/pages/696,696,61530106.0,Strigiformes,767.0,Strigiformes,,,,,
Malacostraca,http://eol.org/pages/1157,1157,61397927.0,Malacostraca,767.0,Malacostraca,,,,,
Amphibia,http://eol.org/pages/1552,1552,61442299.0,Amphibia,767.0,Lissamphibia,,,,,
Amphibia,http://eol.org/pages/1552,1552,63784097.0,Amphibia,767.0,Lissamphibia,,,,,
Anura,http://eol.org/pages/1553,1553,62830043.0,Ecaudati,767.0,Anura,,,,,
Anura,http://eol.org/pages/1553,1553,62396918.0,Anura,767.0,Anura,,,,,
Anura,http://eol.org/pages/1553,1553,62125775.0,Anura,767.0,Anura,,,,,
Anura,http://eol.org/pages/1553,1553,63601711.0,Proanura,767.0,Anura,,,,,
Anura,http://eol.org/pages/1553,1553,63836093.0,Heteromorpha,767.0,Anura,,,,,
Anura,http://eol.org/pages/1553,1553,62762380.0,Amphicoelia,767.0,Anura,,,,,
Anura,http://eol.org/pages/1553,1553,63012002.0,Salientia,767.0,Anura,,,,,
Bufonidae,http://eol.org/pages/1556,1556,64455202.0,Phryniscidae,767.0,Bufonidae,,,,,
Bufonidae,http://eol.org/pages/1556,1556,62126406.0,Bufonidae,767.0,Bufonidae,,,,,
Psittaciformes,http://eol.org/pages/1590,1590,61527083.0,Psittaciformes,767.0,Psittaciformes,,,,,
Psittacidae,http://eol.org/pages/1591,1591,61673139.0,Psittacidae,767.0,Psittacidae,,,,,
Piciformes,http://eol.org/pages/1592,1592,62146901.0,Piciformes,767.0,Piciformes,,,,,
Picidae,http://eol.org/pages/1595,1595,62147945.0,Picidae,767.0,Picidae,,,,,
Passeriformes,http://eol.org/pages/1596,1596,61387418.0,Passeriformes,767.0,Passeriformes,,,,,
Tyrannidae,http://eol.org/pages/1601,1601,62025281.0,Tyrannidae,767.0,Tyrannidae,,,,,
Turdidae,http://eol.org/pages/1603,1603,62154207.0,Turdidae,767.0,Turdidae,,,,,
Thraupidae,http://eol.org/pages/1604,1604,62152827.0,Thraupidae,767.0,Thraupidae,,,,,
Sturnidae,http://eol.org/pages/1607,1607,62153204.0,Sturnidae,767.0,Sturnidae,,,,,
Sittidae,http://eol.org/pages/1609,1609,62151381.0,Sittidae,767.0,Sittidae,,,,,
Passeridae,http://eol.org/pages/1627,1627,62153557.0,Passeridae,767.0,Passeridae,,,,,
