label,uri,id
"Pogonias cromis (Linnaeus, 1766)",http://eol.org/pages/46579058,46579058
"Pomacea paludosa (Say, 1829)",http://eol.org/pages/48801731,48801731
"Busycon RÃ¶ding, 1798",http://eol.org/pages/46463538,46463538
Chondrichthyes,http://eol.org/pages/2774522,2774522
Marsupials,http://eol.org/pages/42415193,42415193
Bromus,http://eol.org/pages/108079,108079
Convolvulaceae,http://eol.org/pages/4431,4431
Scrophulariaceae,http://eol.org/pages/4429,4429
Lolium,http://eol.org/pages/108090,108090
Trifolieae,http://eol.org/pages/11911326,11911326
Buglossoides arvensis (L.) I. M. Johnst.,http://eol.org/pages/489676,489676
acacia,http://eol.org/pages/13650,13650
echium,http://eol.org/pages/49195,49195
Ficus sycomorus L.,http://eol.org/pages/491538,491538
Ambrosia maritima L.,http://eol.org/pages/475430,475430
Valerianaceae,http://eol.org/pages/4260,4260
Zygophyllaceae,http://eol.org/pages/4418,4418
Molothrus,http://eol.org/pages/13971,13971
"Branta canadensis (Linnaeus, 1758)",http://eol.org/pages/45510537,45510537
"Crotalus atrox Baird & Girard, 1853",http://eol.org/pages/795269,795269
Gyps,http://eol.org/pages/92482,92482
Picoides,http://eol.org/pages/14212,14212
Anas platyrhynchos Linnaeus 1758,http://eol.org/pages/1047918,1047918
"Uria lomvia (Linnaeus, 1758)",http://eol.org/pages/1049762,1049762
"Coccothraustes vespertinus (W. Cooper, 1825)",http://eol.org/pages/1178577,1178577
"Euthynnus alletteratus (Rafinesque, 1810)",http://eol.org/pages/223064,223064
"Alligator mississippiensis (Daudin, 1802)",http://eol.org/pages/796029,796029
"Phalacrocorax auritus (Lesson, R, 1831)",http://eol.org/pages/45511372,45511372
"Zenopsis conchifer (Lowe, 1852)",http://eol.org/pages/221981,221981
"Bairdiella chrysoura (Lacepède, 1802)",http://eol.org/pages/215337,215337
Anser,http://eol.org/pages/18015,18015
"Rangifer tarandus (Linnaeus, 1758)",http://eol.org/pages/328653,328653
"Antilocapra americana (Ord, 1815)",http://eol.org/pages/328661,328661
Falconidae,http://eol.org/pages/8007,8007
Canidae,http://eol.org/pages/7676,7676
Chelonia mydas Linnaeus 1758,http://eol.org/pages/454546,454546
"Sylvilagus aquaticus (Bachman, 1837)",http://eol.org/pages/970830,970830
Pelycopoda,http://eol.org/pages/14022305,14022305
"Mercenaria Schumacher, 1817",http://eol.org/pages/46469523,46469523
"Lepomis microlophus (GÃ¼nther, 1859)",http://eol.org/pages/995130,995130
"Lepisosteus LacepÃ¨de, 1803",http://eol.org/pages/46582203,46582203
Mephitidae,http://eol.org/pages/7671,7671
Thraupidae,http://eol.org/pages/1604,1604
"Herpestidae Bonaparte, 1845",http://eol.org/pages/7673,7673
Zoarcidae,http://eol.org/pages/5185,5185
"Leptotila verreauxi (Bonaparte, 1855)",http://eol.org/pages/914670,914670
"Apalone ferox (Schneider, 1783)",http://eol.org/pages/795754,795754
Crassostrea brasiliana (Lamarck 1819),http://eol.org/pages/449554,449554
Passeriformes,http://eol.org/pages/1596,1596
Potamon potamios,http://eol.org/pages/342805,342805
"Lutra canadensis (Schreber, 1777)",http://eol.org/pages/46559124,46559124
"Micropterus LacepÃ¨de, 1802",http://eol.org/pages/46580118,46580118
"Busycon carica (Gmelin, 1791)",http://eol.org/pages/46463539,46463539
Cyprinus,http://eol.org/pages/13038,13038
"Centropomus parallelus Poey, 1860",http://eol.org/pages/46580158,46580158
"Meleagris gallopavo Linnaeus, 1758",http://eol.org/pages/45510619,45510619
"Anas fulvigula Ridgway, 1874",http://eol.org/pages/45510560,45510560
Vulpes,http://eol.org/pages/19076,19076
Scolopax,http://eol.org/pages/79046,79046
"Chrysemys Gray, 1844",http://eol.org/pages/35258,35258
Felis,http://eol.org/pages/20189,20189
Phalaropus,http://eol.org/pages/104376,104376
Numenius arquata,http://eol.org/pages/1049389,1049389
"Potamoidea Ortmann, 1896",http://eol.org/pages/7195,7195
Gopherus polyphemus DAUDIN 1802,http://eol.org/pages/456481,456481
dog,http://eol.org/pages/1228387,1228387
Malva,http://eol.org/pages/61013,61013
"Sigmodon hispidus Say & Ord, 1825",http://eol.org/pages/328441,328441
Columba oenas,http://eol.org/pages/1049690,1049690
"Euglandina rosea (Ferussac, 1818)",http://eol.org/pages/452700,452700
Squaliformes,http://eol.org/pages/8888,8888
"Dinocardium robustum (Lightfoot, 1786)",http://eol.org/pages/46473726,46473726
Trachemys scripta subsp. scripta,http://eol.org/pages/1242029,1242029
"Rangia cuneata (G. B. Sowerby I, 1832)",http://eol.org/pages/46471973,46471973
Sulidae,http://eol.org/pages/7984,7984
Botaurus stellaris,http://eol.org/pages/1049017,1049017
"Micropogonias Bonaparte, 1831",http://eol.org/pages/46578959,46578959
"Lobosculum Pilsbry, 1930",http://eol.org/pages/70825,70825
Mugilidae,http://eol.org/pages/5287,5287
"Cavia porcellus (Linnaeus, 1758)",http://eol.org/pages/326924,326924
Chenopodium (goosefoots),http://eol.org/pages/37754,37754
Sula,http://eol.org/pages/19876,19876
"Balanus Costa, 1778",http://eol.org/pages/35798,35798
"Acteocinidae Dall, 1913",http://eol.org/pages/46448165,46448165
"Arcidae Lamarck, 1809",http://eol.org/pages/46465774,46465774
"Brevoortia Gill, 1861",http://eol.org/pages/46562445,46562445
"Polygyra Say, 1818",http://eol.org/pages/50337,50337
"Erimyzon Jordan, 1876",http://eol.org/pages/99511,99511
"Leiostomus xanthurus LacepÃ¨de, 1802",http://eol.org/pages/46579046,46579046
Perca,http://eol.org/pages/24007,24007
"Triodopsis Rafinesque, 1819",http://eol.org/pages/50329,50329
"Prionotus LacepÃ¨de, 1801",http://eol.org/pages/46568728,46568728
"Donax variabilis Say, 1822",http://eol.org/pages/46474542,46474542
"Crassostrea virginica (Gmelin, 1791)",http://eol.org/pages/46467110,46467110
Serpentes,http://eol.org/pages/46559499,46559499
Sitta,http://eol.org/pages/34691,34691
"Elops saurus Linnaeus, 1766",http://eol.org/pages/225460,225460
Tyrannus,http://eol.org/pages/34755,34755
Rattus,http://eol.org/pages/42343,42343
Moraceae,http://eol.org/pages/4450,4450
Reptilia,http://eol.org/pages/1703,1703
Mephitis,http://eol.org/pages/35946,35946
Pagrus,http://eol.org/pages/24067,24067
"Cyclopterus lumpus Linnaeus, 1758",http://eol.org/pages/1011820,1011820
Arecaceae,http://eol.org/pages/8193,8193
Brassicaceae,http://eol.org/pages/4219,4219
Asteraceae,http://eol.org/pages/4206,4206
Otis,http://eol.org/pages/33765,33765
"Accipiter gentilis (Linnaeus, 1758)",http://eol.org/pages/1049024,1049024
Sarcopterygii,http://eol.org/pages/8909,8909
Accipitridae,http://eol.org/pages/8016,8016
Sterna hirundo Linnaeus 1758,http://eol.org/pages/1049639,1049639
"Dromaius novaehollandiae (Latham, 1790)",http://eol.org/pages/1178369,1178369
Struthio camelus Linnaeus 1758,http://eol.org/pages/1178371,1178371
"Poecile atricapillus (Linnaeus, 1766)",http://eol.org/pages/1178539,1178539
Erinaceus concolor,http://eol.org/pages/1178682,1178682
"Marmota monax (Linnaeus, 1758)",http://eol.org/pages/327979,327979
Chenopodiaceae,http://eol.org/pages/4230,4230
Malvaceae,http://eol.org/pages/4321,4321
Portulacaceae,http://eol.org/pages/4234,4234
Rosaceae,http://eol.org/pages/8097,8097
Tamaricaceae,http://eol.org/pages/4464,4464
Primulaceae,http://eol.org/pages/4367,4367
Lamiaceae,http://eol.org/pages/4302,4302
Molluginaceae,http://eol.org/pages/4231,4231
Limnodromus,http://eol.org/pages/19937,19937
"Castor fiber Linnaeus, 1758",http://eol.org/pages/1036116,1036116
"Macroramphosus scolopax (Linnaeus, 1758)",http://eol.org/pages/205113,205113
"Aythya marila (Linnaeus, 1761)",http://eol.org/pages/1048972,1048972
Solanaceae,http://eol.org/pages/4437,4437
Apodidae,http://eol.org/pages/8023,8023
Bubo,http://eol.org/pages/14511,14511
Phalaris,http://eol.org/pages/108108,108108
Ostreoidea,http://eol.org/pages/4743882,4743882
Polymixiidae,http://eol.org/pages/5167,5167
Grus grus,http://eol.org/pages/1049273,1049273
