uri,citation uri,label,item category,project label,project uri,published,updated,latitude,longitude,early bce/ce,late bce/ce,context uri,Context (1),Context (2),Context (3),Context (4),Context (5),Context (6),Context (7),Has anatomical identification,Temporal Coverage,Has taxonomic identifier,Has Biological Taxonomy,References,Has fusion character :: Distal epiphysis fused,Has fusion character :: Distal epiphysis fusing,Has fusion character :: Distal epiphysis unfused,Has fusion character :: Proximal epiphysis fused,Has fusion character :: Proximal epiphysis fusing,Has fusion character :: Proximal epiphysis unfused,BFd,BT,Bd,Bp,CD,Counting measure,DD,Dd,Dp,GL,Ld,Ll,SD
http://opencontext.org/subjects/C8B3BF7C-5EB0-48A9-B372-B5FD0B5B3136,https://n2t.net/ark:/28722/k2pv6dg2x,Bone 2285,Animal Bone,Çatalhöyük Area TP Zooarchaeology,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,2013-03-02T00:00:00Z,2020-03-28T12:21:22Z,37.668196,32.827191,-6200.0,-6000.0,http://opencontext.org/subjects/8E9D677F-37B2-468D-229A-95B974D68445,Turkey,Çatalhöyük,Mound East,Area TP,Unit 6988,,,tibia,,Sheep or goat,Sheep/goat,,False,False,False,False,False,False,,,,,,,,,,,,,
http://opencontext.org/subjects/498E9DE2-3DF4-4385-2F43-BAE9420B2F66,https://n2t.net/ark:/28722/k29p2zf5w,Bone 2283,Animal Bone,Çatalhöyük Area TP Zooarchaeology,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,2013-03-02T00:00:00Z,2020-03-28T12:21:22Z,37.668196,32.827191,-6200.0,-6000.0,http://opencontext.org/subjects/8E9D677F-37B2-468D-229A-95B974D68445,Turkey,Çatalhöyük,Mound East,Area TP,Unit 6988,,,tibia,,Sheep or goat,Sheep/goat,,False,False,False,False,False,False,,,,,,,,,,,,,
http://opencontext.org/subjects/D7B7C14A-5E00-4E8C-38A6-D589723A6539,https://n2t.net/ark:/28722/k2f18vp1t,Bone 4138,Animal Bone,Çatalhöyük Area TP Zooarchaeology,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,2013-03-02T00:00:00Z,2020-03-28T12:27:07Z,37.668196,32.827191,-6200.0,-6000.0,http://opencontext.org/subjects/B3DD35A0-F1D1-4A0C-C04A-1B1EE900B8B0,Turkey,Çatalhöyük,Mound East,Area TP,Unit 7422,,,tibia,,Sheep or goat,Sheep/goat,,False,False,False,False,False,False,,,,,,,,,,,,,
http://opencontext.org/subjects/0E2852A1-E031-4598-C869-4FB04C285137,https://n2t.net/ark:/28722/k2pv6d865,Bone 18465,Animal Bone,Çatalhöyük Area TP Zooarchaeology,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,2013-03-02T00:00:00Z,2020-03-28T13:11:30Z,37.668196,32.827191,-6200.0,-6000.0,http://opencontext.org/subjects/BC0997DF-02B0-4E90-C1C4-6C602EED11B3,Turkey,Çatalhöyük,Mound East,Area TP,Unit 17609,,,tibia,,Capra,Capra,,False,False,False,False,False,False,,,6.7,,108.3,,,24.2,,18.0,,,8.3
http://opencontext.org/subjects/40B59746-C8C8-4E8E-4910-918F96C7E56C,https://n2t.net/ark:/28722/k25x27f7b,Bone 18464,Animal Bone,Çatalhöyük Area TP Zooarchaeology,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,2013-03-02T00:00:00Z,2020-03-28T13:11:30Z,37.668196,32.827191,-6200.0,-6000.0,http://opencontext.org/subjects/BC0997DF-02B0-4E90-C1C4-6C602EED11B3,Turkey,Çatalhöyük,Mound East,Area TP,Unit 17609,,,tibia,,Capra,Capra,,False,False,False,False,False,False,,,23.9,,,,,19.3,,,,,
http://opencontext.org/subjects/EA5C2AA6-8FB4-45F9-D1FB-4299F9750B9B,https://n2t.net/ark:/28722/k2fq9sc74,Bone 5436,Animal Bone,Çatalhöyük Area TP Zooarchaeology,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,2013-03-02T00:00:00Z,2020-03-28T12:31:10Z,37.668196,32.827191,-6200.0,-6000.0,http://opencontext.org/subjects/FECC07BE-8ED1-49ED-0EB3-7CCF3DAF5CAA,Turkey,Çatalhöyük,Mound East,Area TP,Unit 7468,,,tibia,,Sheep or goat,Sheep/goat,,False,False,False,False,False,False,,,6.8,,,,,,,,,,13.9
http://opencontext.org/subjects/6F7E02F6-4D28-49C0-3BD6-1E180DE1E3AA,https://n2t.net/ark:/28722/k20002286,Bone 17828,Animal Bone,Çatalhöyük Area TP Zooarchaeology,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,2013-03-02T00:00:00Z,2020-03-28T13:09:29Z,37.668196,32.827191,-6200.0,-6000.0,http://opencontext.org/subjects/C6FB7878-A008-4BB3-331B-81C367505057,Turkey,Çatalhöyük,Mound East,Area TP,Unit 15833,,,tibia,,Sheep or goat,Sheep/goat,,False,False,False,False,False,False,,,,14.0,42.9,,,12.8,,11.2,,,
http://opencontext.org/subjects/C31BA1D0-30DB-4280-037F-26355BA9FE0A,https://n2t.net/ark:/28722/k2rb6z55d,Bone 14941,Animal Bone,Çatalhöyük Area TP Zooarchaeology,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,2013-03-02T00:00:00Z,2020-03-28T13:00:57Z,37.668196,32.827191,-6200.0,-6000.0,http://opencontext.org/subjects/1ADD90EF-A2B6-4939-DF0E-741B6D5BCD47,Turkey,Çatalhöyük,Mound East,Area TP,Unit 13570,,,tibia,,Ovis,Ovis,,False,False,False,False,False,False,,,,,,,,25.7,,20.2,,,
http://opencontext.org/subjects/B2AC0346-F085-4055-CF24-65543454BA8E,https://n2t.net/ark:/28722/k2cf9m969,Bone 14996,Animal Bone,Çatalhöyük Area TP Zooarchaeology,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,2013-03-02T00:00:00Z,2020-03-28T13:01:08Z,37.668196,32.827191,-6200.0,-6000.0,http://opencontext.org/subjects/4892D0EB-684B-47E9-D810-F056B8F3DFF1,Turkey,Çatalhöyük,Mound East,Area TP,Unit 13522,,,tibia,,Ovis,Ovis,,False,False,False,False,False,False,,,,15.2,34.0,,,25.9,,19.4,,,
http://opencontext.org/subjects/0A636251-74AC-4FF4-1579-4918844FA3B6,https://n2t.net/ark:/28722/k2057fz1d,Bone 9987,Animal Bone,Çatalhöyük Area TP Zooarchaeology,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,2013-03-02T00:00:00Z,2020-03-28T12:45:17Z,37.668196,32.827191,-6200.0,-6000.0,http://opencontext.org/subjects/0887B77C-E3D0-457F-DDCB-90A4F8269955,Turkey,Çatalhöyük,Mound East,Area TP,Unit 11784,,,tibia,,Sheep or goat,Sheep/goat,,False,False,False,False,False,False,,,,14.4,,,,,,,,,
