Item Label,URI,Citation URI,Project,Project URI,Context,Context [2],Context [3],Context [4],Context [5],Context [6],Context [7],Context URI,Latitude (WGS 84),Longitude (WGS 84),Early BCE/CE,Late BCE/CE,Item Category,icon,Thumbnail,Published Date,Updated Date,Consists of,Consists of [URI],Has type,Has type [URI],Has type [cidoc-crm-p2-has-type],Has type [cidoc-crm-p2-has-type] [URI],Consists of [cidoc-crm-p45-consists-of],Consists of [cidoc-crm-p45-consists-of] [URI],Fabric Category,Object Type [24-object-type],Object Type,Find Year,Main Fabric,Main Object Type
PC 19970127,http://opencontext.org/subjects/3c33a62a-0a21-4c1b-b285-b9bb5ac83053,https://n2t.net/ark:/28722/k2t72q68g,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro South Flank,Tesoro South Flank 0,"1997, ID:355",,https://opencontext.org/subjects/b79defa4-eb3a-4e9d-db25-711792610c21,43.153009862891395,11.401263278263443,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19970127interiorjpg.jpg,2012-12-28T00:00:00Z,2024-01-31T12:41:12Z,bucchero ware,https://vocab.getty.edu/aat/300387149,,,,,Bucchero,https://en.wikipedia.org/wiki/Bucchero,Bucchero,,Vessel,1997,Bucchero,Vessel
PC 19980158,http://opencontext.org/subjects/4be6a93a-4155-40e5-ba4c-73c15b180960,https://n2t.net/ark:/28722/k2v12ff53,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Agger,Agger 9 Extension,"1998, ID:363",,https://opencontext.org/subjects/b98e614b-da64-41be-1ce8-9e5d3496c96d,43.15311809095423,11.401165158499921,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19980158illjpg.jpg,2012-12-28T00:00:00Z,2024-01-31T23:52:08Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),pottery (visual works),https://vocab.getty.edu/aat/300010666,,,,,Impasto,,Vessel,1998,Impasto,Vessel
PC 19990102,http://opencontext.org/subjects/eb8e7793-b237-432b-3412-2eb2ef587ea1,https://n2t.net/ark:/28722/k2g15z849,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Civitate A,Civitate A 42,"1999, ID:366",,https://opencontext.org/subjects/6621600b-3b5d-4b99-71f9-e42c18656e59,43.15337176054864,11.399452276791141,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://artiraq.org/static/opencontext/poggio-civitate/thumbs/19990102top[1].jpg,2012-12-28T00:00:00Z,2024-01-31T14:25:17Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),oinochoai,https://vocab.getty.edu/aat/300198866,Oenochoe|Oinochoe,https://en.wikipedia.org/wiki/Oenochoe|https://kerameikos.org/id/oinochoe,,,Impasto,,Vessel,1999,Impasto,Vessel
VdM20060124,http://opencontext.org/subjects/f543fab7-289e-4d83-5cc6-400f2d044c3a,https://n2t.net/ark:/28722/k2jw86p7d,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Vescovado di Murlo,Upper Vescovado,Vescovado 2,"2006, ID:577",Locus 8,https://opencontext.org/subjects/cf2909e3-42c2-49ce-b4b6-d4e47ae5a5af,43.17118073417523,11.391164972369436,-535,-50,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-20060124fmaajpg.jpg,2012-12-28T00:00:00Z,2024-01-31T10:43:55Z,,,pottery (visual works),https://vocab.getty.edu/aat/300010666,,,,,Black Glaze Ceramic,,Vessel,2006,Black Glaze Ceramic,Vessel
PC 19790199,http://opencontext.org/subjects/d245557d-7049-4c31-44ac-437f08cdced1,https://n2t.net/ark:/28722/k2t72cg02,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 23,"1979, ID:92",,https://opencontext.org/subjects/3ecf9e3d-995b-4156-6ab7-87a8ba5bca99,43.15266921386905,11.40210472404946,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,"https://iiif.archive.org/iiif/opencontext-24-19790199illjpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T04:23:18Z,,,bowls (vessels),https://vocab.getty.edu/aat/300203596,pottery (visual works),https://vocab.getty.edu/aat/300010666,,,Orange Ware,,Vessel,1979,Orange Ware,Vessel
PC 19990103,http://opencontext.org/subjects/c1dbc6c3-1565-460e-d936-2271ff13e616,https://n2t.net/ark:/28722/k2ks6p284,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Civitate A,Civitate A 42,"1999, ID:366",,https://opencontext.org/subjects/6621600b-3b5d-4b99-71f9-e42c18656e59,43.15337176054864,11.399452276791141,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://artiraq.org/static/opencontext/poggio-civitate/thumbs/19990103profile[1].jpg,2012-12-28T00:00:00Z,2024-01-31T11:09:03Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),oinochoai,https://vocab.getty.edu/aat/300198866,Oenochoe|Oinochoe,https://en.wikipedia.org/wiki/Oenochoe|https://kerameikos.org/id/oinochoe,,,Impasto,,Vessel,1999,Impasto,Vessel
PC 19760096,http://opencontext.org/subjects/4828e2c0-49f7-46a3-9d37-9346db36b970,https://n2t.net/ark:/28722/k2zp4110k,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 19 Extension,"1976, ID:79",,https://opencontext.org/subjects/1c8a3854-31c8-42dc-d4bb-254ecce95b62,43.15349681221135,11.401851373750384,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19760096jpg.jpg,2012-12-28T00:00:00Z,2024-01-31T09:07:15Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),pottery (visual works),https://vocab.getty.edu/aat/300010666,,,,,Impasto,,Vessel,1976,Impasto,Vessel
PC 19810082,http://opencontext.org/subjects/8e0ab63e-d2bb-4edd-1966-c734ca6d1fab,https://n2t.net/ark:/28722/k29886n06,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 23,"1981, ID:419",,https://opencontext.org/subjects/171aa8d2-bc5f-4d17-f3b0-5a49dd4e3db2,43.15272166718144,11.40210752946137,-700,-535,Object,https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19810082illjpg.jpg,2012-12-28T00:00:00Z,2024-01-31T12:20:02Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),spools,https://vocab.getty.edu/aat/300023528,,,,,Impasto,,Textile Related::Rocchetto,1981,Impasto,Textile Related
PC 20040174,http://opencontext.org/subjects/28c6e7d9-3f5d-4d06-a3bc-e081d113f07a,https://n2t.net/ark:/28722/k2125v79b,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 30B,"2004, ID:536",Locus 7,https://opencontext.org/subjects/cd38a662-f249-4ea3-9e8e-d3a7d3ff9075,43.152781058702566,11.401815559389721,-700,-535,Object,https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-20040174bjpg.jpg,2012-12-28T00:00:00Z,2024-01-31T00:10:30Z,bone (material),https://vocab.getty.edu/aat/300011798,,,,,,,Bone,,Production Material::Worked Bone,2004,Bone,Production Material
PC 19990099,http://opencontext.org/subjects/2cc0f946-95f0-4d40-7753-6c61d3a416cc,https://n2t.net/ark:/28722/k22r3sv4m,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Civitate A,Civitate A 42,"1999, ID:366",,https://opencontext.org/subjects/6621600b-3b5d-4b99-71f9-e42c18656e59,43.15337176054864,11.399452276791141,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19990099illustrationbackviewjpg.jpg,2012-12-28T00:00:00Z,2024-01-31T23:23:34Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),oinochoai,https://vocab.getty.edu/aat/300198866,Oenochoe|Oinochoe,https://en.wikipedia.org/wiki/Oenochoe|https://kerameikos.org/id/oinochoe,,,Impasto,,Vessel,1999,Impasto,Vessel
