group,source_label,target_label,source_uuid,target_uuid,source,target,vector_dist,geo_normal_dist
arch-element,PC 19690383,PC 19710428,827898b1-995e-4c03-7cad-7702e1ef65a4,ec8bf8de-433e-480f-a690-88a8538ee7b8,827898b1_995e_4c03_7cad_7702e1ef65a4,ec8bf8de_433e_480f_a690_88a8538ee7b8,0.21681430582221162,0.032788950913814896
arch-element,PC 19690383,PC 19680016,827898b1-995e-4c03-7cad-7702e1ef65a4,54344fd2-ddf3-4edd-256c-c0e603b07745,827898b1_995e_4c03_7cad_7702e1ef65a4,54344fd2_ddf3_4edd_256c_c0e603b07745,0.1020325473568271,0.04674571328855715
arch-element,PC 19690383,PC 19720102,827898b1-995e-4c03-7cad-7702e1ef65a4,af266358-e866-4abb-9ed3-1fdae81d6625,827898b1_995e_4c03_7cad_7702e1ef65a4,af266358_e866_4abb_9ed3_1fdae81d6625,0.23285697094980418,0.027593400284537387
arch-element,PC 19690383,PC 19790089,827898b1-995e-4c03-7cad-7702e1ef65a4,06f99970-c97c-4a30-3698-d67ca5b0b552,827898b1_995e_4c03_7cad_7702e1ef65a4,06f99970_c97c_4a30_3698_d67ca5b0b552,0.2649423398871926,0.006837150572127998
arch-element,PC 19690383,PC 19710517,827898b1-995e-4c03-7cad-7702e1ef65a4,14d96454-e3b9-43b9-4605-c6cd66844784,827898b1_995e_4c03_7cad_7702e1ef65a4,14d96454_e3b9_43b9_4605_c6cd66844784,0.3431450928356431,0.027935514115228294
arch-element,PC 19690383,PC 19790276,827898b1-995e-4c03-7cad-7702e1ef65a4,cfa0bff7-eb09-40a7-0bb6-98c9ce13a42d,827898b1_995e_4c03_7cad_7702e1ef65a4,cfa0bff7_eb09_40a7_0bb6_98c9ce13a42d,0.11819419490906957,0.011570559513424693
arch-element,PC 19690383,PC 20030037,827898b1-995e-4c03-7cad-7702e1ef65a4,61edd1f6-e742-4038-3782-85881eba26a6,827898b1_995e_4c03_7cad_7702e1ef65a4,61edd1f6_e742_4038_3782_85881eba26a6,0.16988769788423808,0.020642046465331396
arch-element,PC 19690383,VdM20165143,827898b1-995e-4c03-7cad-7702e1ef65a4,993c60c7-9e06-442c-9bca-43457d383bd4,827898b1_995e_4c03_7cad_7702e1ef65a4,993c60c7_9e06_442c_9bca_43457d383bd4,0.3693178445458791,0.9589638312877199
arch-element,PC 19690383,PC 19710288,827898b1-995e-4c03-7cad-7702e1ef65a4,6b6e52e4-2422-4075-6ce5-6e2de163dfa1,827898b1_995e_4c03_7cad_7702e1ef65a4,6b6e52e4_2422_4075_6ce5_6e2de163dfa1,0.1559023484698675,0.032788950913814896
arch-element,PC 19690383,PC 19720198,827898b1-995e-4c03-7cad-7702e1ef65a4,20c43fc0-4d3e-49e9-21f7-47e45dbe26c6,827898b1_995e_4c03_7cad_7702e1ef65a4,20c43fc0_4d3e_49e9_21f7_47e45dbe26c6,0.3458214164119908,0.02700721539332106
arch-element,PC 19690383,PC 19660029,827898b1-995e-4c03-7cad-7702e1ef65a4,bf4684fc-9b1d-4836-1939-6380245bd983,827898b1_995e_4c03_7cad_7702e1ef65a4,bf4684fc_9b1d_4836_1939_6380245bd983,0.207979407512483,0.02683255890656411
arch-element,PC 19690383,PC 19680205,827898b1-995e-4c03-7cad-7702e1ef65a4,dc777717-c5a6-4d00-e672-7d27caedacee,827898b1_995e_4c03_7cad_7702e1ef65a4,dc777717_c5a6_4d00_e672_7d27caedacee,0.3510662729449845,0.05251126303994322
arch-element,PC 19690383,PC 19690034,827898b1-995e-4c03-7cad-7702e1ef65a4,33f47d28-d2da-4481-e1e4-79d3afa747bb,827898b1_995e_4c03_7cad_7702e1ef65a4,33f47d28_d2da_4481_e1e4_79d3afa747bb,0.13604221521787496,0.0769932258464282
arch-element,PC 19690383,PC 19820190,827898b1-995e-4c03-7cad-7702e1ef65a4,0977d937-6935-4772-8aab-7896b265d541,827898b1_995e_4c03_7cad_7702e1ef65a4,0977d937_6935_4772_8aab_7896b265d541,0.2009671537047587,0.014163004615416832
arch-element,PC 19690383,PC 20120175,827898b1-995e-4c03-7cad-7702e1ef65a4,09726834-cbba-499c-858b-d569a9830ea6,827898b1_995e_4c03_7cad_7702e1ef65a4,09726834_cbba_499c_858b_d569a9830ea6,0.3272157535369191,0.07092282200653532
arch-element,PC 19690383,PC 19790273,827898b1-995e-4c03-7cad-7702e1ef65a4,b629b1dd-5500-45bc-30d1-47e936fe8646,827898b1_995e_4c03_7cad_7702e1ef65a4,b629b1dd_5500_45bc_30d1_47e936fe8646,0.1551795176559848,0.006414347314153848
arch-element,PC 19690383,PC 19680166,827898b1-995e-4c03-7cad-7702e1ef65a4,75757bd1-37a3-4986-aece-de5de8d00833,827898b1_995e_4c03_7cad_7702e1ef65a4,75757bd1_37a3_4986_aece_de5de8d00833,0.2678181978030644,0.04210748985363655
arch-element,PC 19690383,PC 19770101,827898b1-995e-4c03-7cad-7702e1ef65a4,c8f7de63-0327-4fc3-f973-68ffecce7e6b,827898b1_995e_4c03_7cad_7702e1ef65a4,c8f7de63_0327_4fc3_f973_68ffecce7e6b,0.2989047646906404,0.028504416326970556
arch-element,PC 19690383,PC 19680221,827898b1-995e-4c03-7cad-7702e1ef65a4,5b7b3d31-8c98-4507-fb7f-fabb4bb0f640,827898b1_995e_4c03_7cad_7702e1ef65a4,5b7b3d31_8c98_4507_fb7f_fabb4bb0f640,0.33503132047476913,0.04287811898368697
arch-element,PC 19690383,PC 20160035,827898b1-995e-4c03-7cad-7702e1ef65a4,58a519b5-0850-40c4-9512-3e361d578dcf,827898b1_995e_4c03_7cad_7702e1ef65a4,58a519b5_0850_40c4_9512_3e361d578dcf,0.34467796500649106,0.06667422851061412
