Find Year,Main Fabric,Fabric Count,Year Total Count,Fabric Proportion
1966,Clay,210,317,0.662
1966,Terracotta,40,317,0.126
1966,Impasto,34,317,0.107
1966,Bucchero,12,317,0.038
1966,Bronze,8,317,0.025
1966,Coarse Ware,3,317,0.009
1966,Stone,3,317,0.009
1966,Plaster,2,317,0.006
1966,Antler,1,317,0.003
1966,Glass,1,317,0.003
1966,Lead,1,317,0.003
1966,Shell,1,317,0.003
1966,Slag,1,317,0.003
1967,Clay,361,541,0.667
1967,Terracotta,113,541,0.209
1967,Impasto,24,541,0.044
1967,Bucchero,15,541,0.028
1967,Bronze,11,541,0.02
1967,Iron,5,541,0.009
1967,Stone,5,541,0.009
1967,Antler,4,541,0.007
1967,Italo-Corinthian Ware,2,541,0.004
1967,Lead,1,541,0.002
1968,Clay,429,835,0.514
1968,Terracotta,324,835,0.388
1968,Impasto,45,835,0.054
1968,Bucchero,11,835,0.013
1968,Bronze,9,835,0.011
1968,Italo-Corinthian Ware,8,835,0.01
1968,Antler,3,835,0.004
1968,Coarse Ware,2,835,0.002
1968,Iron,2,835,0.002
1968,Bone,1,835,0.001
1968,Stone,1,835,0.001
1969,Terracotta,350,459,0.763
1969,Bronze,32,459,0.07
1969,Impasto,27,459,0.059
1969,Bucchero,24,459,0.052
1969,Clay,8,459,0.017
1969,Other Ceramic,7,459,0.015
1969,Amber,2,459,0.004
1969,Antler,1,459,0.002
1969,Bone,1,459,0.002
1969,Coarse Ware,1,459,0.002
1969,Fine Ware,1,459,0.002
1969,Iron,1,459,0.002
1969,Lead,1,459,0.002
1969,Stone,1,459,0.002
1969,Unclassified,1,459,0.002
1970,Terracotta,256,496,0.516
1970,Impasto,95,496,0.192
1970,Bucchero,57,496,0.115
1970,Bronze,39,496,0.079
1970,Clay,32,496,0.065
1970,Iron,7,496,0.014
1970,Bone,2,496,0.004
1970,Horn,2,496,0.004
1970,Fine Ware,1,496,0.002
1970,Glass,1,496,0.002
1970,Other Ceramic,1,496,0.002
1970,Shell,1,496,0.002
1970,Stone,1,496,0.002
1971,Terracotta,239,958,0.249
1971,Bucchero,174,958,0.182
1971,Impasto,159,958,0.166
1971,Bronze,110,958,0.115
1971,Ivory,97,958,0.101
1971,Clay,55,958,0.057
1971,Bone,36,958,0.038
1971,Glass,24,958,0.025
1971,Iron,24,958,0.025
1971,Italo-Corinthian Ware,14,958,0.015
1971,Gold,6,958,0.006
1971,Quartz,4,958,0.004
1971,Silver,4,958,0.004
1971,Stone,3,958,0.003
1971,Amber,2,958,0.002
1971,Antler,2,958,0.002
1971,Obsidian,2,958,0.002
1971,Seed,1,958,0.001
1972,Bucchero,141,527,0.268
1972,Bronze,103,527,0.195
1972,Terracotta,92,527,0.175
1972,Impasto,82,527,0.156
1972,Ivory,40,527,0.076
1972,Bone,14,527,0.027
1972,Antler,12,527,0.023
1972,Iron,9,527,0.017
1972,Clay,8,527,0.015
1972,Stone,5,527,0.009
1972,Wood,5,527,0.009
1972,Quartz,4,527,0.008
1972,Amber,3,527,0.006
1972,Italo-Corinthian Ware,3,527,0.006
1972,Glass,1,527,0.002
1972,Gold,1,527,0.002
1972,Horn,1,527,0.002
1972,Organic,1,527,0.002
1972,Plaster,1,527,0.002
1972,Unclassified,1,527,0.002
1973,Impasto,105,332,0.316
1973,Bucchero,104,332,0.313
1973,Terracotta,93,332,0.28
1973,Clay,13,332,0.039
1973,Bronze,7,332,0.021
1973,Bone,3,332,0.009
1973,Iron,2,332,0.006
1973,Stone,2,332,0.006
1973,Coarse Ware,1,332,0.003
1973,Italo-Corinthian Ware,1,332,0.003
1974,Bucchero,15,44,0.341
1974,Terracotta,11,44,0.25
1974,Impasto,6,44,0.136
1974,Clay,4,44,0.091
1974,Plaster,3,44,0.068
1974,Wood,3,44,0.068
1974,Ivory,1,44,0.023
1974,Quartz,1,44,0.023
1975,Impasto,44,124,0.355
1975,Terracotta,28,124,0.226
1975,Bone,15,124,0.121
1975,Bucchero,13,124,0.105
1975,Bronze,11,124,0.089
1975,Ivory,6,124,0.048
1975,Clay,2,124,0.016
1975,Quartz,2,124,0.016
1975,Stone,2,124,0.016
1975,Obsidian,1,124,0.008
1976,Impasto,79,186,0.425
1976,Terracotta,36,186,0.194
1976,Bucchero,32,186,0.172
1976,Bronze,8,186,0.043
1976,Antler,7,186,0.038
1976,Bone,7,186,0.038
1976,Italo-Corinthian Ware,6,186,0.032
1976,Clay,4,186,0.022
1976,Iron,2,186,0.011
1976,Coarse Ware,1,186,0.005
1976,Ivory,1,186,0.005
1976,Orange Ware,1,186,0.005
1976,Other Ceramic,1,186,0.005
1976,Wood,1,186,0.005
1977,Terracotta,106,300,0.353
1977,Impasto,95,300,0.317
1977,Bucchero,51,300,0.17
1977,Bronze,21,300,0.07
1977,Clay,10,300,0.033
1977,Antler,7,300,0.023
1977,Bone,5,300,0.017
1977,Glass,2,300,0.007
1977,Italo-Corinthian Ware,1,300,0.003
1977,Ivory,1,300,0.003
1977,Wood,1,300,0.003
1978,Bronze,89,295,0.302
1978,Ivory,48,295,0.163
1978,Bucchero,47,295,0.159
1978,Terracotta,45,295,0.153
1978,Impasto,29,295,0.098
1978,Bone,11,295,0.037
1978,Glass,9,295,0.031
1978,Iron,5,295,0.017
1978,Coarse Ware,4,295,0.014
1978,Wood,4,295,0.014
1978,Antler,3,295,0.01
1979,Bronze,72,311,0.232
1979,Terracotta,63,311,0.203
1979,Ivory,54,311,0.174
1979,Impasto,43,311,0.138
1979,Bucchero,35,311,0.113
1979,Bone,14,311,0.045
1979,Iron,8,311,0.026
1979,Antler,4,311,0.013
1979,Orange Ware,4,311,0.013
1979,Gray Ware,3,311,0.01
1979,Glass,2,311,0.006
1979,Italo-Corinthian Ware,2,311,0.006
1979,Organic,2,311,0.006
1979,Other Ceramic,2,311,0.006
1979,Coarse Ware,1,311,0.003
1979,Stone,1,311,0.003
1979,Wood,1,311,0.003
1980,Terracotta,67,306,0.219
1980,Impasto,41,306,0.134
1980,Seed,39,306,0.127
1980,Bronze,33,306,0.108
1980,Bucchero,24,306,0.078
1980,Bone,23,306,0.075
1980,Ivory,21,306,0.069
1980,Organic,14,306,0.046
1980,Antler,9,306,0.029
1980,Coarse Ware,6,306,0.02
1980,Other Ceramic,6,306,0.02
1980,Stone,5,306,0.016
1980,Iron,4,306,0.013
1980,Italo-Corinthian Ware,4,306,0.013
1980,Shell,3,306,0.01
1980,Obsidian,2,306,0.007
1980,Chert,1,306,0.003
1980,Fine Ware,1,306,0.003
1980,Horn,1,306,0.003
1980,Ionic Ware,1,306,0.003
1980,Orange Ware,1,306,0.003
1981,Bronze,75,228,0.329
1981,Impasto,37,228,0.162
1981,Terracotta,27,228,0.118
1981,Ivory,26,228,0.114
1981,Bone,19,228,0.083
1981,Bucchero,10,228,0.044
1981,Iron,7,228,0.031
1981,Glass,4,228,0.018
1981,Wood,4,228,0.018
1981,Coarse Ware,3,228,0.013
1981,Italo-Corinthian Ware,3,228,0.013
1981,Antler,2,228,0.009
1981,Gray Ware,2,228,0.009
1981,Obsidian,2,228,0.009
1981,Orange Ware,2,228,0.009
1981,Stone,2,228,0.009
1981,Ionic Ware,1,228,0.004
1981,Organic,1,228,0.004
1981,Shell,1,228,0.004
1982,Terracotta,94,195,0.482
1982,Impasto,24,195,0.123
1982,Ivory,22,195,0.113
1982,Bucchero,11,195,0.056
1982,Bronze,7,195,0.036
1982,Antler,6,195,0.031
1982,Plaster,6,195,0.031
1982,Bone,5,195,0.026
1982,Ionic Ware,5,195,0.026
1982,Stone,4,195,0.021
1982,Gray Ware,3,195,0.015
1982,Iron,2,195,0.01
1982,Italo-Corinthian Ware,2,195,0.01
