Find Year,Main Object Type,Type Count,Year Total Count,Type Proportion
1966,Architectural,238,317,0.751
1966,Vessel,33,317,0.104
1966,Textile Related,26,317,0.082
1966,Tool / Weapon,5,317,0.016
1966,"Costume, Accessories",4,317,0.013
1966,Pyrotech Related,3,317,0.009
1966,Fastener,2,317,0.006
1966,Shaped Object,2,317,0.006
1966,Figurine / Statuette,1,317,0.003
1966,Ornament,1,317,0.003
1966,Production Material,1,317,0.003
1966,Production Waste,1,317,0.003
1967,Architectural,454,541,0.839
1967,Vessel,39,541,0.072
1967,Textile Related,21,541,0.039
1967,Fastener,6,541,0.011
1967,Ornament,6,541,0.011
1967,Shaped Object,5,541,0.009
1967,Production Material,4,541,0.007
1967,"Costume, Accessories",2,541,0.004
1967,Tool / Weapon,2,541,0.004
1967,Organic (ecofact),1,541,0.002
1967,Stele Base,1,541,0.002
1968,Architectural,717,835,0.859
1968,Vessel,83,835,0.099
1968,Textile Related,15,835,0.018
1968,Production Material,4,835,0.005
1968,Pyrotech Related,3,835,0.004
1968,Shaped Object,3,835,0.004
1968,"Costume, Accessories",2,835,0.002
1968,Fastener,2,835,0.002
1968,Figurine / Statuette,2,835,0.002
1968,Tool / Weapon,2,835,0.002
1968,Ornament,1,835,0.001
1968,Stele Base,1,835,0.001
1969,Architectural,304,459,0.662
1969,Vessel,69,459,0.15
1969,Textile Related,42,459,0.092
1969,Fastener,12,459,0.026
1969,"Costume, Accessories",11,459,0.024
1969,Shaped Object,7,459,0.015
1969,Tool / Weapon,4,459,0.009
1969,Ornament,3,459,0.007
1969,Organic (ecofact),2,459,0.004
1969,Production Material,2,459,0.004
1969,Figurine / Statuette,1,459,0.002
1969,Pyrotech Related,1,459,0.002
1970,Architectural,246,496,0.496
1970,Vessel,117,496,0.236
1970,Textile Related,71,496,0.143
1970,Fastener,18,496,0.036
1970,Shaped Object,14,496,0.028
1970,"Costume, Accessories",10,496,0.02
1970,Pyrotech Related,5,496,0.01
1970,Tool / Weapon,5,496,0.01
1970,Production Material,4,496,0.008
1970,Ornament,3,496,0.006
1970,Figurine / Statuette,1,496,0.002
1970,Organic (ecofact),1,496,0.002
1971,Vessel,253,958,0.264
1971,Architectural,228,958,0.238
1971,Textile Related,162,958,0.169
1971,Ornament,67,958,0.07
1971,Fastener,57,958,0.059
1971,Shaped Object,50,958,0.052
1971,"Costume, Accessories",37,958,0.039
1971,Tool / Weapon,34,958,0.035
1971,Figurine / Statuette,29,958,0.03
1971,Production Material,21,958,0.022
