Illustration,Chp,#,Image Number,Locus_Wall,Locus ID
Figure,2,3,p05Z3-0203,18839,
Figure,2,6,p05Z3-0615,18229,Wall 18229
Figure,2,6,p05Z3-0615,18308,Locus 18308
Figure,2,8,p05Z3-0604,9729,Wall 9729
Figure,2,8,p05Z3-0604,9262,Wall 9262
Figure,2,8,p05Z3-0604,9684,Wall 9684
Figure,2,9,p05Z3-0586,9626,Wall 9626
Figure,2,9,p05Z3-0586,9278,Wall 9278
Figure,2,9,p05Z3-0586,9704,Wall 9704
Figure,2,9,p05Z3-0586,9857,Locus 9857
Figure,2,12,p09Z3-6011,18047,Locus 18047
Figure,2,12,p09Z3-6011,18033,Locus 18033
Figure,2,19,p05Z3-0258,18297,Locus 18297
Figure,2,19,p05Z3-0258,18298,Locus 18298
Figure,2,19,p05Z3-0258,18275,Locus 18275
Figure,2,21,p05Z3-0621,18243,Locus 18243
Figure,2,26,p05Z3-0610,9762,Locus 9762
Figure,2,26,p05Z3-0610,9704,Wall 9704
Figure,2,26,p05Z3-0610,9779,Locus 9779
Figure,2,26,p05Z3-0610,9766,Locus 9766
Figure,2,48,p09Z3-6007,9982,Locus 9982
Figure,2,48,p09Z3-6007,18073,Locus 18073
Figure,2,48,p09Z3-6007,18058,Locus 18058
Figure,2,63,p05Z3-0709,9679,Locus 9679
Figure,2,63,p05Z3-0709,9066,Wall 9066
Figure,3,18,d05Z3-0662,9915,Wall 9915
Figure,3,18,d05Z3-0662,9909,Wall 9909
Figure,3,18,d05Z3-0662,9362,Locus 9362
Figure,3,18,d05Z3-0662,9140,
Figure,3,19,d05Z3-0665,9909,Wall 9909
Figure,3,19,d05Z3-0665,18242,Locus 18242
Figure,3,19,d05Z3-0665,18029,Locus 18029
Figure,3,19,d05Z3-0665,18041,Locus 18041
Figure,3,19,d05Z3-0665,18042,Locus 18042
Figure,3,19,d05Z3-0665,18049,Locus 18049
Figure,3,19,d05Z3-0665,18239,Locus 18239
Figure,3,19,d05Z3-0665,18025,Locus 18025
Figure,3,21,p06Z3-0005,9140,
Figure,3,21,p06Z3-0005,9262,Wall 9262
Figure,3,22,d05Z3-0674,18048,Wall 18048
Figure,3,22,d05Z3-0674,9626,Wall 9626
Figure,3,22,d05Z3-0674,9275,
Figure,3,24,p05Z3-0667,9262,Wall 9262
Figure,3,24,p05Z3-0667,18068,Locus 18068
Figure,3,24,p05Z3-0667,18048,Wall 18048
Figure,3,26,p10Z3-0134,9065,Wall 9065
Figure,3,26,p10Z3-0134,9400,Wall 9400
Figure,3,26,p10Z3-0134,9168,Locus 9168
Figure,3,26,p10Z3-0134,9066,Wall 9066
Figure,3,27,p05Z3-0670,9914,Wall 9914
Figure,3,27,p05Z3-0670,9066,Wall 9066
Figure,3,29,d05Z3-0671,9914,Wall 9914
Figure,3,29,d05Z3-0671,9066,Wall 9066
Figure,3,29,d05Z3-0671,9140,
Figure,3,29,d05Z3-0671,9211,Wall 9211
Figure,3,29,d05Z3-0671,9262,Wall 9262
Figure,3,30,d05Z3-0673,9262,Wall 9262
Figure,3,36,p05Z3-0626,18048,Wall 18048
Figure,3,36,p05Z3-0626,9262,Wall 9262
Figure,3,36,p05Z3-0626,18286,Locus 18286
Figure,3,36,p05Z3-0626,18308,Locus 18308
Figure,3,36,p05Z3-0626,18229,Wall 18229
Figure,3,36,p05Z3-0626,18273,Locus 18273
Figure,3,37,p05Z3-0634,18320,Locus 18320
Figure,3,37,p05Z3-0634,18341,Locus 18341
Figure,3,37,p05Z3-0634,18229,Wall 18229
Figure,3,37,p05Z3-0634,18349,Wall 18349
Figure,3,37,p05Z3-0634,18313,Locus 18313
Figure,5,12,p05Z3-0210,9729,Wall 9729
Figure,5,12,p05Z3-0210,9845,Wall 9845
Figure,5,12,p05Z3-0210,9211,Wall 9211
Figure,5,13,p05Z3-0201,18577,Wall 18577
Figure,5,23,p05Z3-0200,18552,Locus 18552
Figure,8,3,p05Z3-0230,9636,Wall 9636
Figure,8,3,p05Z3-0230,9653,Locus 9653
Figure,8,4,p05Z3-0224,9636,Wall 9636
Figure,8,8,p05Z3-0232,18363,Locus 18363
Figure,8,8,p05Z3-0232,18362,Locus 18362
Figure,8,9,p05Z3-0233,18205,Locus 18205
Figure,8,9,p05Z3-0233,18200,Locus 18200
Figure,8,11,p05Z3-0237,9661,Locus 9661
Figure,8,11,p05Z3-0237,9850,Locus 9850
Figure,8,12,p05Z3-0239,9724,Locus 9724
Figure,8,13,p05Z3-0240,9913,Locus 9913
Figure,8,13,p05Z3-0240,9895,Locus 9895
Figure,8,15,p05Z3-0234,9882,Locus 9882
Figure,8,21,p05Z3-0242,18300,Wall 18300
Figure,8,21,p05Z3-0242,18002,Locus 18002
Figure,8,21,p05Z3-0242,9715,Wall 9715
Figure,8,22,p05Z3-0244,18002,Locus 18002
Figure,8,22,p05Z3-0244,9175,Locus 9175
Figure,8,22,p05Z3-0244,9664,Locus 9664
