File ID,Site Area,Area,Locus ID
Figure 1.1,Area G,,
Figure 1.10,,AJ:30–34,Wall 9914
Figure 1.11,,AI–AJ:32–34,
Figure 1.11,,AJ:30–34,
Figure 1.12,Area G,,
Figure 1.13,Area G,,
Figure 1.14,Area G,,
Figure 1.15,Area G,,
Figure 1.16,Area G,,
Figure 1.17,Area G,,
Figure 1.18,Area G,,
Figure 1.19,Area G,,
Figure 1.2,Area G,,
Figure 1.20,Area G,,
Figure 1.21,,AI:31–34,
Figure 1.22,Area G,,
Figure 1.23,,,Locus 9669
Figure 1.23,,,Wall 9147
Figure 1.3,,AJ:30–34,Wall 9003
Figure 1.3,,AJ:30–34,Wall 9003
Figure 1.4,Area G,,
Figure 1.5,Area G,,
Figure 1.6,,AI:31–34,
Figure 1.6,,AI:31–34,
Figure 1.6,,AJ:30–34,
Figure 1.6,,AJ:30–34,
Figure 1.7,,AH:33,
Figure 1.7,,AI:31–34,
Figure 1.7,,AJ:30–34,
Figure 1.8,,AI:31–34,
Figure 1.9,,AJ:30–34,
Figure 10.1,Area G,,
Figure 10.10,,,Wall 9841
Figure 10.11,Area G,,
Figure 10.12,,AI:31–34,
Figure 10.13,,AI:31–34,
Figure 10.14,,,Wall 18481
Figure 10.14,,,Wall 18516
Figure 10.14,,,Wall 9211
Figure 10.15,,,Wall 18481
Figure 10.15,,,Wall 9211
Figure 10.16,,,Wall 9684
Figure 10.16,,,Wall 9961
Figure 10.17,,,Locus 18509
Figure 10.17,,,Wall 18481
Figure 10.17,,,Wall 18515
Figure 10.17,,,Wall 18516
Figure 10.17,,,Wall 9211
Figure 10.17,,,Wall 9684
Figure 10.18,,,Locus 18482
Figure 10.18,,,Wall 18481
Figure 10.19,,,Wall 18481
Figure 10.19,,,Wall 9262
Figure 10.2,,AI:31–34,
Figure 10.20,,,Wall 18481
Figure 10.20,,,Wall 9262
Figure 10.20,,,Wall 9275a–b
Figure 10.20,,,Wall 9961
Figure 10.21,,AI:31–34,
Figure 10.22,,,Wall 18514
Figure 10.22,,,Wall 18515
Figure 10.22,,,Wall 9262
Figure 10.23,,,Wall 18481
Figure 10.23,,,Wall 18515
Figure 10.23,,,Wall 9961
Figure 10.24,,,Locus 18509
Figure 10.24,,,Wall 18514
Figure 10.24,,,Wall 18515
Figure 10.25,,,Wall 18503
Figure 10.26,,,Wall 18481
Figure 10.26,,,Wall 18503
Figure 10.26,,,Wall 18515
Figure 10.27,,,Locus 9251
Figure 10.27,,,Wall 9466
Figure 10.28,,AI:31–34,
Figure 10.29,,AI:31–34,
Figure 10.3,,,Wall 9262
Figure 10.3,,,Wall 9684
Figure 10.3,,,Wall 9729
