File ID,Illustration,Chp,Part Number,Caption,DB ID,FileName,FileType,Error in print
Figure 1.1,Figure,1,1,Fig. 1.1. Map of Tel Dor showing Area G in relation to other excavation areas. (d09Z1-1001)  ,d09Z1-1001,d09Z1-1001.tif,tif,
Figure 1.2,Figure,1,2,"Fig. 1.2. A reconstruction of the Roman street system at Dor, with Area G at the projected intersection of the north–south and east–west streets (Shalev 2008:Fig. 24). (d09Z1-1002)  ",d09Z1-1002,d09Z1-1002.tif,tif,
Figure 1.3,Figure,1,3,"Fig. 1.3. Area G during the first season in 1986, looking southeast. W9003 is the mass of stones in the foreground (AJ/33). In the background (AJ/31) is the pavement of the Roman plaza (F9000) (photograph courtesy of Andrew Stewart). (p08Z3-1365)  ",p08Z3-1365,p08Z3-1365.tif,tif,
Figure 1.4,Figure,1,4,"Fig. 1.4. Aerial view showing the almost-maximum horizontal exposure of Area G, as reached in 1989, looking southwest. (p10Z3-0055)  ",p10Z3-0055,p10Z3-0055.jpg,jpg,
Figure 1.5,Figure,1,5,"Fig. 1.5. As previous photo, with the excavation squares and major architectural elements labeled. (p10Z3-0001)  ",p10Z3-0001,p10Z3-0001.tif,tif,
Figure 1.6,Figure,1,6,"Fig. 1.6. 1994 season, showing primarily excavation of Phase 9 (Ir1a late) architecture in AI/31–33 and AJ/32–33, looking south. Conferring in the background (by the wooden ladder) are area supervisor Jeffrey R. Zorn and site-stratigrapher Ilan Sharon (photograph courtesy of Andrew Stewart). (p10Z3-0056)  ",p10Z3-0056,p10Z3-0056.jpg,jpg,
Figure 1.7,Figure,1,7,"Fig. 1.7. General view of Area G in 1993, showing remains of the Phases 7–9 (Iron Age) structure in AH/33, AI/32–34 and AJ/32–34, looking north (photograph courtesy of Andrew Stewart). (p08Z3-1456)  ",p08Z3-1456,p08Z3-1456.tif,tif,
Figure 1.8,Figure,1,8,Fig. 1.8. Excavation of the skeleton in “Doreen’s room” (AI/33) in 1992. Unit supervisor Ranbir Sidhu on the left. (p08Z3-1441)  ,p08Z3-1441,p08Z3-1441.tif,tif,
Figure 1.9,Figure,1,9,"Fig. 1.9. “Sloan’s room” in Square AJ/33 in 1991, looking southwest. In the foreground are the carved kurkar four-horn altar/four-footed stool and the two possible limestone maṣṣeboth in situ. Supervisor John Yelding-Sloan (second left) and the team of excavators (photograph courtesy of Andrew Stewart). (p08Z3-1437)  ",p08Z3-1437,p08Z3-1437.tif,tif,
Figure 1.10,Figure,1,10,"Fig. 1.10. Excavation of W9914 (Phase 7/6b?) in Square AJ/33 “Sloan’s room”, one of two walls which contained in situ reed-mat material, looking east. Unit supervisor John Yelding-Sloan kneeling with trowel. On the left, with brush, is Dennis Stanfil (photograph courtesy of Andrew Stewart). (p08Z3-1449)  ",p08Z3-1449,p08Z3-1449.tif,tif,
Figure 1.11,Figure,1,11,"Fig. 1.11. Excavation of the “trough” installation in the central courtyard (AI–AJ/32) in 1994, looking north. Area supervisor Jeffrey R. Zorn, with hat, is in back, opposite John Yelding-Sloan (photograph courtesy of Andrew Stewart). (p08Z3-1464)  ",p08Z3-1464,p08Z3-1464.tif,tif,
Figure 1.12,Figure,1,12,Fig. 1.12. The card for the first locus opened in Area G in 1986. (d10Z1-1001)  ,d10Z1-1001,d10Z1-1001.jpg,jpg,
Figure 1.13,Figure,1,13,"Fig. 1.13. A basket list, pre-1991. (d10Z1-1002)  ",d10Z1-1002,d10Z1-1002.tif,tif,
Figure 1.14,Figure,1,14,"Fig. 1.14. A top plan, pre-1991. (d10Z1-1003)  ",d10Z1-1003,d10Z1-1003.tif,tif,
Figure 1.15,Figure,1,15,"Fig. 1.15. Locus card, new design, 1991 and later, front. (d10Z1-1004)",d10Z1-1004,d10Z1-1004.jpg,jpg,
Figure 1.16,Figure,1,16,"Fig. 1.16. Same card as in Fig. 1.15, back. (d10Z1-1005)",d10Z1-1005,d10Z1-1005.jpg,jpg,
Figure 1.17,Figure,1,17,"Fig. 1.17. First computerized basket lists, 1991 and later. (d10Z1-1006) ",d10Z1-1006,d10Z1-1006.tif,tif,
Figure 1.18,Figure,1,18,"Fig. 1.18. Top plan, 1991 and later. (d10Z1-1007) ",d10Z1-1007,d10Z1-1007.tif,tif,
Figure 1.19,Figure,1,19,"Fig. 1.19. A top plan from Area G in 2004. The background is an AutoCAD master plan kept by the architect, on which the area supervisor added details with Adobe PhotoShop. (d04G-0014) ",d04G-0014,d04G-0014.jpg,jpg,
Figure 1.20,Figure,1,20,"Fig. 1.20.  The on-site laboratory set up above Area G in 2004. From left to right: Elisabetta Boaretto, John E. Berg, Sariel Shalev. Instrumentation: FTIR behind the foreground computer, XRF in background (photograph courtesy of Steve Weiner). (p10Z3-0002) ",p10Z3-0002,p10Z3-0002.jpg,jpg,
Figure 1.21,Figure,1,21,"Fig. 1.21. Backfilling of Area G in 2004, looking south. AI/31 is just in front of the front-loader. (p08A-0183)",p08A-0183,p08A-0183.JpG,JpG,
Figure 1.22,Figure,1,22,"Fig. 1.22. Staff, volunteers and the famous Area G Jolly Roger flag in the 1991 season. Seated in the middle row on the far right is director Andrew Stewart (beard and sunglasses). On the left, behind the flag, is unit supervisor John Yelding-Sloan (with hat).  To the right of the flag is Jeffrey R. Zorn and then unit supervisors Cheryl Bowden (the eponym of ""Cheryl's floor/room""), standing on the wall, and seated, Diana Pickworth-Wong, Ranbir Sidhu and Robyn Talman. Behind Yelding-Sloan is draftswoman Ingeborg Schraauwers. Behind Bowden is unit supervisor Kris Leeson (photograph courtesy of Andrew Stewart). (p10Z3-0057) ",p10Z3-0057,p10Z3-0057.tif,tif,
Figure 1.23,Figure,1,23,"Fig. 1.23. Volunteer excavating Persian period jars in Pit L9669; with W9147 (nicknamed ""Pia's wall"") in the background, looking northwest (photograph courtesy of Andrew Stewart). (p10Z3-0058) ",p10Z3-0058,p10Z3-0058.tif,tif,
Figure 2.1,Figure,2,1,Fig. 2.1. Superposition of Phases 9–6. (d09Z3-1287),d09Z3-1287,d09Z3-1287.tif,tif,
Figure 2.2,Figure,2,2,Fig. 2.2. Superposition of Phases 9 and 10. The whitened area shows the part in which both Phases 9 and 10 were exposed. (d10Z1-1008),d10Z1-1008,d10Z1-1008.tif,tif,
Figure 2.3,Figure,2,3,"Fig. 2.3. View of deep sounding at southern end of AI/31, looking east. Upper right: Phase 10 W18315. Meter stick shows depth of Phases 11â€“12 (LBII) debris layers, in which no architecture was found. (p05Z3-0203)",p05Z3-0203,p05Z3-0203.tif,tif,
Figure 2.4,Figure,2,4,"Fig. 2.4. View of sloping Phase 11 layers associated with dumping of debris from metallurgic activities, looking north. Note in particular the pronounced slope on upper left. The deep sounding in AI/32 continues down to Phase 12. (p08Z3-1472)",p08Z3-1472,p08Z3-1472.tif,tif,
Figure 2.5,Figure,2,5,"Fig. 2.5. The fragmentary remains of the Shell-Floor Installation, looking east (=Fig. 14.35). (p08Z3-1474)",p08Z3-1474,p08Z3-1474.tif,tif,
Figure 2.6,Figure,2,6,"Fig. 2.6. W18229 with stone-rubble “pilaster” between two sections of mud, looking north. No bricks could be delineated in the mud construction. (p05Z3-0615)",p05Z3-0615,p05Z3-0615.tif,tif,
Figure 2.7,Figure,2,7,"Fig. 2.7. W9914, showing phytolith remains of grass mat in-between mud courses, looking north. (p0Z3-1475)",p08Z3-1475,p08Z3-1475.tif,tif,x
Figure 2.8,Figure,2,8,"Fig. 2.8. A “tracer brick” in W9262 (Phase 7), looking southeast. (p05Z3-0604)",p05Z3-0604,p05Z3-0604.tif,tif,
Figure 2.9,Figure,2,9,"Fig. 2.9. Example of a floor reaching a mudbrick wall with a stone foundation (left) vs. a mudbrick wall with a stone socle, looking east. (p05Z3-0586)",p05Z3-0586,p05Z3-0586.tif,tif,
Figure 2.10,Figure,2,10,"Fig. 2.10. Background: W9140(N) (Phases 9–6) with single-stone-wide construction; foreground: W9140(S) (Phases 7–6) with double-faced construction, looking north. (p05Z3-0645)",p05Z3-0645,p05Z3-0645.tif,tif,
Figure 2.11,Figure,2,11,"Fig. 2.11. N–S walls W9266 (left) and W9684 (right), constructed of one row of small boulders, looking south. (p10Z3-0054)",p10Z3-0054,p10Z3-0054.tif,tif,
Figure 2.12,Figure,2,12,"Fig. 2.12. Section through the Phase 9 destruction debris in Room 18033, looking west. Note in situ jars on floor, with mudbrick and stone collapse on top and burnt beams and roofing material above (photograph courtesy of J.C. Monroe). (p09Z3-6011)",p09Z3-6011,p09z3-6011.tif,tif,
Figure 2.13,Figure,2,13,Fig. 2.13. Close-up of roof collapse seen in section in Fig. 2.12. Above the beams: burnt organic layer with packing of mudbrick material above (photograph courtesy of J.C. Monroe). (p09Z3-6014),p09Z3-6014,p09z3-6014.tif,tif,
Figure 2.14,Figure,2,14,"Fig. 2.14. Close-up of roof collapse in western balk in Room 18033, opposite the roofing material in Figs. 2.12 and 2.13. Note the two cross-members under the brush and a thin white organic layer (mat? fronds?) draping across them (photograph courtesy of J.C. Monroe). (p08Z3-1460)",p08Z3-1460,p08Z3-1460.tif,tif,
Figure 2.15,Figure,2,15,Fig. 2.15. Reconstruction of the roof construction technique. (d09Z3-1460),d09Z3-1460,d09Z3-1460.tif,tif,
Figure 2.16,Figure,2,16,Fig. 2.16. Superposition of Phases 10c–a. Note changes in wall lines between sub-phases. (d09Z3-1289),d09Z3-1289,d09Z3-1289.tif,tif,
