Region,Site,Area,Note,Locus ID,Original Sort Order,Locus/Wall,Number,Square,Phase,Contextual Integrity (I) Code,Contextual Integrity (I),Phasing of Contents (PoC),Comments,Context,Chapter,Status
Israel,Tel Dor,AI–AK:31–32,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9000,1,Locus,9000,AI–AK/31–32,1a,--,--,⪰1,Topsoil on top of ashlar pavement of Phase 1a Roman plaza; Primarily in AJ/31,--," Dor IIIA: 5, 7, 8, 9, 11, 12, 13, 16",Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9001,2,Locus,9001,AJ/32,1a,--,--,⪰1,Topsoil down to fragment of F9000,--, Dor IIIA: 12,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9002,3,Locus,9002,AJ/33,--,n,non-stratified,--,Topsoil,--, Dor IIIA: 13,Not Final
Israel,Tel Dor,AJ–AK:32–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9003,4,Wall,9003,AJ–AK/33,1a,--,--,--,The Blob - cement foundation (for colonnade?),--," Dor IIIA: 5, 7, 8, 9, 12, 13, 14, 15",Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9004,5,Locus,9004,AJ/33,--,d,disturbed,--,Topsoil & [unrecognized] Robber Trenches,--, Dor IIIA: 13,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9005,6,Wall,9005,AI/32,3,--,--,--,Ashlar stub in pier and rubble wall in W9051,--," Dor IIIA: 7, 8",Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9006,7,Locus,9006,AJ/31,⪰1,d,disturbed,⪰1,Topsoil and mixed fill,--, Dor IIIA: 11,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9007,8,Wall,9007,AI/32,3,--,--,--,Ashlar stub in pier and rubble wall in W9051,--," Dor IIIA: 7, 8",Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9008,9,Locus,9008,AJ/33,1a,d,disturbed,⪰1,Topsoil down to kurkar floor reaching W9009. = L9012 in AJ/32,--, Dor IIIA: 13,Not Final
Israel,Tel Dor,AJ–AK:32–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9009,10,Wall,9009,AJ–AK/33,1a,--,--,--,Ashlar construction – “pedestal”/revetment abutted to Blob W9003 (or else an independent wall cut by it) = W9345a in AK/33,--," Dor IIIA: 9, 12, 13",Not Final
