Locus ID,Resource Type,file,full,preview,thumbs
Locus 04G0-001,Locus card,04G0-001.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-001.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-001.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 04G0-002,Locus card,04G0-002.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-002.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-002.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 04G0-003,Locus card,04G0-003.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-003.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-003.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 04G0-004,Locus card,04G0-004.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-004.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-004.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 04G0-005,Locus card,04G0-005.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-005.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-005.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 04G0-006,Locus card,04G0-006.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-006.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-006.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 04G0-007,Locus card,04G0-007.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-007.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-007.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Wall 04G0-008,Locus card,04G0-008.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-008.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-008.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 04G0-009,Locus card,04G0-009.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-009.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-009.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 04G0-010,Locus card,04G0-010.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-010.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-010.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 04G0-011,Locus card,04G0-011.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-011.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-011.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Wall 04G0-012,Locus card,04G0-012.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-012.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-012.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 04G0-013,Locus card,04G0-013.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-013.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-013.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 04G0-014,Locus card,04G0-014.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-014.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-014.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 04G0-015,Locus card,04G0-015.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-015.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-015.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 04G0-016,Locus card,04G0-016.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-016.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/04G0-016.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18000,Locus card,18000.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18000.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18000.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18001,Locus card,18001.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18001.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18001.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18002,Locus card,18002.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18002.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18002.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18003,Locus card,18003.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18003.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18003.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18004,Locus card,18004.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18004.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18004.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18005,Locus card,18005.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18005.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18005.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18006,Locus card,18006.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18006.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18006.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18007,Locus card,18007.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18007.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18007.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18008,Locus card,18008.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18008.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18008.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18009,Locus card,18009.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18009.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18009.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Wall 18010a,Locus card,18010.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18010.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18010.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Wall 18010b,Locus card,18010.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18010.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18010.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18011,Locus card,18011.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18011.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18011.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18012,Locus card,18012.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18012.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18012.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18013,Locus card,18013.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18013.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18013.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18014,Locus card,18014.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18014.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18014.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18016,Locus card,18016.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18016.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18016.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18017,Locus card,18017.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18017.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18017.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18018,Locus card,18018.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18018.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18018.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18019,Locus card,18019.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18019.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18019.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18020,Locus card,18020.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18020.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18020.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18021,Locus card,18021.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18021.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18021.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18022,Locus card,18022.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18022.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18022.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18024,Locus card,18024.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18024.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18024.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18025,Locus card,18025.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18025.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18025.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18026,Locus card,18026.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18026.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18026.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18028,Locus card,18028.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18028.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18028.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18029,Locus card,18029.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18029.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18029.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18030,Locus card,18030.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18030.pdf,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18030.pdf#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18031,Locus card,18031.PDF,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18031.PDF,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18031.PDF#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18032,Locus card,18032.PDF,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18032.PDF,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18032.PDF#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18033,Locus card,18033.PDF,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18033.PDF,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18033.PDF#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18034,Locus card,18034.PDF,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18034.PDF,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18034.PDF#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18035,Locus card,18035.PDF,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18035.PDF,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18035.PDF#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18036,Locus card,18036.PDF,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18036.PDF,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18036.PDF#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18037,Locus card,18037.PDF,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18037.PDF,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18037.PDF#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18038,Locus card,18038.PDF,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18038.PDF,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18038.PDF#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
Locus 18039,Locus card,18039.PDF,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18039.PDF,https://artiraq.org/static/opencontext/tel-dor/locus-cards/18039.PDF#preview,https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png
